status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,payload_size,num_gates,execution_type,experiment_type,ibm_job_id,ibm_backend,counts,success_rate,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout
completed,111,11,430,"[[""u"", 92], [""x"", 88], [""y"", 84], [""t"", 39], [""tdg"", 39], [""s"", 31], [""sdg"", 31], [""cx"", 11], [""h"", 10], [""measure"", 4], [""cz"", 1]]",4,202,ibm,dynamic_payload_gates,cytddrz78z600082kpj0,ibm_brisbane,"{""1111"": 467, ""1110"": 317, ""1100"": 406, ""1011"": 390, ""0110"": 157, ""0001"": 134, ""0100"": 190, ""0011"": 196, ""1001"": 245, ""1010"": 259, ""1101"": 262, ""0010"": 127, ""1000"": 394, ""0111"": 234, ""0000"": 171, ""0101"": 147}",0.041748046875,2.0,2.0,completed,0.041748046875,2025-02-18T18:52:19.566Z,2025-02-18T18:52:26.918Z,2025-02-18T18:52:22.605Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:52:23', stop='2025-02-18 18:52:25', size=4096>)])",1.976563,,,,,,
completed,111,11,432,"[[""y"", 96], [""u"", 90], [""x"", 78], [""s"", 37], [""sdg"", 37], [""t"", 34], [""tdg"", 34], [""cx"", 11], [""h"", 10], [""measure"", 4], [""cz"", 1]]",4,203,ibm,dynamic_payload_gates,cytde0ry2gd000882rj0,ibm_brisbane,"{""0101"": 173, ""0011"": 326, ""0111"": 344, ""1011"": 361, ""1010"": 225, ""1101"": 160, ""0010"": 220, ""0001"": 174, ""1000"": 379, ""1110"": 197, ""0000"": 320, ""1111"": 313, ""1100"": 238, ""0100"": 257, ""0110"": 208, ""1001"": 201}",0.078125,2.0,2.0,completed,0.078125,2025-02-18T18:52:51.183Z,2025-02-18T18:52:58.103Z,2025-02-18T18:52:53.877Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:52:55', stop='2025-02-18 18:52:57', size=4096>)])",1.986337,,,,,,
completed,113,11,434,"[[""y"", 82], [""x"", 80], [""u"", 74], [""t"", 47], [""tdg"", 47], [""s"", 39], [""sdg"", 39], [""cx"", 11], [""h"", 10], [""measure"", 4], [""cz"", 1]]",4,204,ibm,dynamic_payload_gates,cytde8h4raf0008efbg0,ibm_brisbane,"{""0110"": 213, ""0001"": 182, ""1001"": 333, ""1110"": 453, ""1010"": 251, ""0100"": 157, ""1101"": 332, ""1000"": 320, ""0111"": 212, ""1100"": 305, ""0000"": 180, ""1011"": 271, ""0010"": 126, ""0011"": 165, ""1111"": 425, ""0101"": 171}",0.0439453125,2.0,2.0,completed,0.0439453125,2025-02-18T18:53:22.410Z,2025-02-18T18:53:28.856Z,2025-02-18T18:53:24.598Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:53:25', stop='2025-02-18 18:53:27', size=4096>)])",1.998772,,,,,,
completed,113,11,436,"[[""x"", 102], [""y"", 86], [""u"", 60], [""t"", 43], [""tdg"", 43], [""s"", 38], [""sdg"", 38], [""cx"", 11], [""h"", 10], [""measure"", 4], [""cz"", 1]]",4,205,ibm,dynamic_payload_gates,cytdeeh78z600082kpkg,ibm_brisbane,"{""1101"": 195, ""1110"": 219, ""0101"": 219, ""1000"": 304, ""1001"": 422, ""0011"": 205, ""1011"": 206, ""0100"": 189, ""0110"": 338, ""1100"": 160, ""1111"": 224, ""0000"": 339, ""0010"": 222, ""0111"": 290, ""0001"": 365, ""1010"": 199}",0.082763671875,2.0,2.0,completed,0.082763671875,2025-02-18T18:53:47.039Z,2025-02-18T18:53:53.856Z,2025-02-18T18:53:49.645Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:53:50', stop='2025-02-18 18:53:52', size=4096>)])",1.976873,,,,,,
completed,93,13,431,"[[""u"", 98], [""y"", 90], [""x"", 54], [""s"", 44], [""sdg"", 44], [""t"", 35], [""tdg"", 35], [""cx"", 13], [""h"", 12], [""measure"", 5], [""cz"", 1]]",5,200,ibm,dynamic_payload_gates,cytdepa38jq0008xtgm0,ibm_brisbane,"{""01001"": 120, ""00111"": 131, ""11010"": 144, ""11000"": 164, ""11111"": 101, ""10011"": 173, ""10110"": 88, ""10111"": 163, ""10100"": 138, ""00001"": 95, ""11011"": 143, ""10001"": 100, ""10000"": 141, ""01000"": 158, ""10101"": 117, ""00100"": 187, ""01011"": 160, ""01110"": 105, ""11110"": 70, ""01111"": 200, ""00000"": 174, ""11001"": 95, ""00010"": 128, ""00110"": 98, ""01010"": 109, ""01101"": 123, ""11100"": 126, ""10010"": 89, ""00011"": 135, ""11101"": 91, ""01100"": 152, ""00101"": 78}",0.04248046875,3.0,3.0,completed,0.04248046875,2025-02-18T18:54:17.267Z,2025-02-18T18:54:24.856Z,2025-02-18T18:54:19.923Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:54:21', stop='2025-02-18 18:54:23', size=4096>)])",2.025345,,,,,,
completed,93,13,433,"[[""x"", 94], [""y"", 78], [""u"", 60], [""s"", 50], [""sdg"", 50], [""t"", 35], [""tdg"", 35], [""cx"", 13], [""h"", 12], [""measure"", 5], [""cz"", 1]]",5,201,ibm,dynamic_payload_gates,cytdexv4raf0008efbkg,ibm_brisbane,"{""10111"": 171, ""11111"": 176, ""01100"": 51, ""11000"": 157, ""00011"": 71, ""11001"": 205, ""10011"": 164, ""11011"": 149, ""10001"": 188, ""00110"": 166, ""01001"": 116, ""01110"": 124, ""11110"": 171, ""10110"": 241, ""10100"": 133, ""11010"": 181, ""10010"": 195, ""10101"": 130, ""00100"": 86, ""01011"": 64, ""00010"": 100, ""10000"": 160, ""00001"": 120, ""01000"": 86, ""01111"": 67, ""01101"": 52, ""00101"": 58, ""00111"": 95, ""00000"": 81, ""11101"": 132, ""01010"": 89}",0.019775390625,3.0,3.0,completed,0.019775390625,2025-02-18T18:54:47.431Z,2025-02-18T18:54:54.969Z,2025-02-18T18:54:50.723Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:54:51', stop='2025-02-18 18:54:53', size=4096>)])",2.023193,,,,,,
completed,93,13,435,"[[""u"", 92], [""x"", 74], [""y"", 72], [""t"", 54], [""tdg"", 54], [""s"", 29], [""sdg"", 29], [""cx"", 13], [""h"", 12], [""measure"", 5], [""cz"", 1]]",5,202,ibm,dynamic_payload_gates,cytdf5c4raf0008efbmg,ibm_brisbane,"{""11011"": 93, ""10001"": 56, ""00111"": 86, ""00001"": 136, ""01111"": 157, ""01101"": 164, ""10111"": 48, ""00000"": 157, ""01001"": 203, ""01110"": 279, ""10101"": 70, ""01000"": 304, ""10011"": 51, ""01010"": 320, ""11001"": 112, ""00110"": 168, ""01100"": 222, ""11110"": 74, ""00010"": 133, ""11111"": 105, ""11101"": 107, ""00011"": 131, ""11010"": 81, ""11100"": 76, ""00100"": 130, ""01011"": 287, ""10100"": 57, ""00101"": 93, ""10000"": 36, ""11000"": 79, ""10110"": 43, ""10010"": 38}",0.038330078125,3.0,3.0,completed,0.038330078125,2025-02-18T18:55:17.636Z,2025-02-18T18:55:25.292Z,2025-02-18T18:55:20.160Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:55:21', stop='2025-02-18 18:55:24', size=4096>)])",2.952952,,,,,,
completed,93,13,437,"[[""u"", 100], [""x"", 90], [""y"", 72], [""s"", 41], [""sdg"", 41], [""t"", 31], [""tdg"", 31], [""cx"", 13], [""h"", 12], [""measure"", 5], [""cz"", 1]]",5,203,ibm,dynamic_payload_gates,cytdfdn4raf0008efbn0,ibm_brisbane,"{""10000"": 106, ""11101"": 146, ""11100"": 120, ""10111"": 131, ""11111"": 277, ""01110"": 229, ""01100"": 122, ""11001"": 202, ""00110"": 113, ""01111"": 193, ""11000"": 173, ""01001"": 150, ""01000"": 165, ""11110"": 212, ""00100"": 52, ""11010"": 158, ""00011"": 80, ""00000"": 83, ""11011"": 151, ""00101"": 74, ""10110"": 93, ""10010"": 74, ""00001"": 98, ""10001"": 102, ""01101"": 109, ""01010"": 161, ""10101"": 60, ""10100"": 58, ""01011"": 161, ""00111"": 94, ""10011"": 68, ""00010"": 81}",0.020263671875,3.0,3.0,completed,0.020263671875,2025-02-18T18:55:50.670Z,2025-02-18T18:55:57.781Z,2025-02-18T18:55:53.267Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:55:54', stop='2025-02-18 18:55:56', size=4096>)])",2.011642,,,,,,
completed,93,13,439,"[[""u"", 94], [""y"", 90], [""x"", 78], [""t"", 40], [""tdg"", 40], [""s"", 33], [""sdg"", 33], [""cx"", 13], [""h"", 12], [""measure"", 5], [""cz"", 1]]",5,204,ibm,dynamic_payload_gates,cytdfnpq5bwg0083jkjg,ibm_brisbane,"{""01010"": 66, ""11101"": 184, ""11110"": 176, ""11000"": 253, ""11011"": 109, ""11010"": 150, ""11100"": 119, ""00100"": 76, ""00000"": 165, ""01101"": 95, ""10111"": 160, ""11111"": 166, ""00011"": 68, ""10000"": 231, ""10010"": 143, ""10101"": 130, ""11001"": 240, ""10011"": 113, ""01011"": 56, ""00101"": 51, ""00010"": 72, ""10001"": 201, ""00001"": 150, ""10100"": 107, ""01001"": 92, ""01100"": 66, ""00111"": 113, ""01111"": 91, ""01110"": 91, ""10110"": 171, ""01000"": 118, ""00110"": 73}",0.040283203125,3.0,3.0,completed,0.040283203125,2025-02-18T18:56:23.106Z,2025-02-18T18:56:31.173Z,2025-02-18T18:56:26.127Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:56:28', stop='2025-02-18 18:56:30', size=4096>)])",2.034261,,,,,,
completed,95,13,441,"[[""u"", 106], [""x"", 78], [""y"", 76], [""t"", 39], [""tdg"", 39], [""s"", 36], [""sdg"", 36], [""cx"", 13], [""h"", 12], [""measure"", 5], [""cz"", 1]]",5,205,ibm,dynamic_payload_gates,cytdfxzy2gd000882rqg,ibm_brisbane,"{""11011"": 211, ""11101"": 117, ""00111"": 144, ""11100"": 163, ""01010"": 67, ""10100"": 193, ""01111"": 134, ""01000"": 123, ""01100"": 96, ""10010"": 127, ""00001"": 74, ""11111"": 260, ""10101"": 94, ""11001"": 142, ""10011"": 162, ""10001"": 138, ""00110"": 79, ""00101"": 76, ""10000"": 217, ""11010"": 134, ""00010"": 52, ""10111"": 195, ""11000"": 198, ""00011"": 89, ""01011"": 100, ""00000"": 134, ""10110"": 116, ""01001"": 65, ""00100"": 94, ""01110"": 90, ""01101"": 60, ""11110"": 152}",0.03271484375,3.0,3.0,completed,0.03271484375,2025-02-18T18:56:56.157Z,2025-02-18T18:57:03.444Z,2025-02-18T18:56:58.892Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-02-18 18:57:00', stop='2025-02-18 18:57:02', size=4096>)])",2.160374,,,,,,
