status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,job_id
completed,3349,9,10025,"{""x"": 1738, ""h"": 1698, ""s"": 1682, ""sdg"": 1682, ""y"": 1622, ""z"": 1590, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5002,qbraid,dynamic_payload_gates,"{""000"": 5, ""001"": 1, ""010"": 1, ""100"": 1, ""110"": 1, ""111"": 1}",0.5,rigetti_ankaa_3-cmarquezb-qjob-zy4yclbthf8zqf54g2k4
completed,3349,9,10027,"{""x"": 1778, ""y"": 1682, ""sdg"": 1661, ""s"": 1661, ""z"": 1642, ""h"": 1590, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5003,qbraid,dynamic_payload_gates,"{""000"": 4, ""010"": 2, ""100"": 1, ""111"": 3}",0.4,rigetti_ankaa_3-cmarquezb-qjob-mdi2u987xml21144nzc7
completed,3351,9,10029,"{""h"": 1752, ""s"": 1726, ""sdg"": 1726, ""y"": 1664, ""z"": 1596, ""x"": 1552, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5004,qbraid,dynamic_payload_gates,"{""000"": 2, ""001"": 1, ""100"": 1, ""110"": 1, ""111"": 5}",0.2,rigetti_ankaa_3-cmarquezb-qjob-ze5dnvx1t5bwgj511wck
completed,3351,9,10031,"{""h"": 1810, ""x"": 1718, ""z"": 1678, ""s"": 1604, ""y"": 1604, ""sdg"": 1604, ""cx"": 9, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,5005,qbraid,dynamic_payload_gates,"{""000"": 4, ""001"": 1, ""100"": 3, ""111"": 2}",0.4,rigetti_ankaa_3-cmarquezb-qjob-u9rhdf60bs5vo1gqcyii
completed,2517,11,10026,"{""h"": 1774, ""z"": 1722, ""s"": 1667, ""sdg"": 1667, ""y"": 1642, ""x"": 1538, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5000,qbraid,dynamic_payload_gates,"{""0000"": 1, ""0001"": 3, ""0010"": 2, ""1000"": 1, ""1001"": 2, ""1100"": 1}",0.1,rigetti_ankaa_3-cmarquezb-qjob-ls5qjjwnbckslum272kw
completed,2517,11,10028,"{""x"": 1784, ""z"": 1726, ""y"": 1674, ""sdg"": 1646, ""s"": 1646, ""h"": 1536, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5001,simulation,dynamic_payload_gates,"{""0000"": 1024}",1.0,rigetti_ankaa_3-cmarquezb-qjob-f2zpd89ydk3o05ywuwhu
completed,2517,11,10030,"{""z"": 1724, ""s"": 1692, ""sdg"": 1692, ""x"": 1676, ""h"": 1666, ""y"": 1564, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5002,qbraid,dynamic_payload_gates,"{""0000"": 1, ""0001"": 1, ""0010"": 3, ""1001"": 1, ""1100"": 1, ""1101"": 1, ""1110"": 2}",0.1,rigetti_ankaa_3-cmarquezb-qjob-2yx2rqo1gcr01djxlyhf
completed,2517,11,10032,"{""x"": 1728, ""y"": 1694, ""s"": 1676, ""sdg"": 1676, ""h"": 1664, ""z"": 1578, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5003,simulation,dynamic_payload_gates,"{""0000"": 1024}",1.0,rigetti_ankaa_3-cmarquezb-qjob-fv4cv4l9zgjb01pkx4c8
completed,2519,11,10034,"{""z"": 1720, ""y"": 1704, ""x"": 1686, ""h"": 1642, ""sdg"": 1633, ""s"": 1633, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5004,qbraid,dynamic_payload_gates,"{""0000"": 2, ""0001"": 1, ""0010"": 1, ""0100"": 2, ""0110"": 2, ""1010"": 1, ""1100"": 1}",0.2,rigetti_ankaa_3-cmarquezb-qjob-3xo705p07tohzgykn1jz
completed,2519,11,10036,"{""h"": 1752, ""y"": 1712, ""z"": 1668, ""sdg"": 1634, ""s"": 1634, ""x"": 1620, ""cx"": 11, ""barrier"": 4, ""measure"": 4, ""cz"": 1}",7,4,0,0,False,False,4,5005,simulation,dynamic_payload_gates,"{""0000"": 1024}",1.0,rigetti_ankaa_3-cmarquezb-qjob-uyce94jp1jkvrrdv978d
