status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,job_id,counts,success_rate,target_depth
completed,15,5,15,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-a54vfrn30odigvpp1dxg,"{""0"": 9, ""1"": 1}",0.9,15
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""x"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-8792jjifyj8phd940e76,"{""00"": 4, ""01"": 1, ""10"": 2, ""11"": 3}",0.4,15
completed,17,5,17,"{""h"": 6, ""cx"": 5, ""barrier"": 4, ""y"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-gr3mnhefwx10wq5ejcx1,"{""0"": 8, ""1"": 2}",0.8,17
completed,17,7,24,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""y"": 2, ""sdg"": 2, ""z"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,4,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-27mr61xa91uc9c7o0f5a,"{""00"": 3, ""01"": 3, ""11"": 4}",0.3,17
completed,17,9,27,"{""cx"": 9, ""h"": 8, ""barrier"": 4, ""measure"": 3, ""z"": 2, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",6,3,0,0,False,False,3,3,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-ek64d03qci9zunt6rar6,"{""000"": 2, ""010"": 2, ""011"": 2, ""100"": 1, ""101"": 3}",0.2,17
completed,17,5,17,"{""cx"": 5, ""h"": 4, ""y"": 4, ""barrier"": 4, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-4u3pw5ts0z01qlokoe2k,"{""0"": 9, ""1"": 1}",0.9,17
completed,17,7,24,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""sdg"": 2, ""z"": 2, ""x"": 2, ""s"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,4,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-hsu1vjy21fv0puqmz57l,"{""00"": 4, ""10"": 2, ""11"": 4}",0.4,17
completed,17,9,27,"{""h"": 10, ""cx"": 9, ""y"": 4, ""barrier"": 4, ""measure"": 3, ""cz"": 1}",6,3,0,0,False,False,3,3,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-x0l1qww68mp7m4de2cy8,"{""000"": 1, ""001"": 1, ""011"": 2, ""101"": 1, ""111"": 5}",0.1,17
completed,17,5,17,"{""h"": 8, ""cx"": 5, ""barrier"": 4, ""x"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-s6ruvbn4gn4map05k73f,"{""0"": 8, ""1"": 2}",0.8,17
completed,17,7,24,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""y"": 2, ""s"": 2, ""sdg"": 2, ""x"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,4,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-7qzbg08bl52y5iv4pzy1,"{""00"": 4, ""10"": 4, ""11"": 2}",0.4,17
