status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,target_depth
completed,17,9,27,"{""cx"": 9, ""h"": 8, ""barrier"": 6, ""measure"": 3, ""x"": 2, ""y"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",6,3,0,0,False,False,3,3,simulation,target_depth_experiment,"{""000"": 1024}",1.0,17
completed,17,5,17,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""y"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,target_depth_experiment,"{""0"": 1024}",1.0,17
completed,17,7,24,"{""h"": 8, ""cx"": 7, ""barrier"": 6, ""x"": 4, ""z"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,4,simulation,target_depth_experiment,"{""00"": 1024}",1.0,17
completed,17,9,27,"{""h"": 10, ""cx"": 9, ""barrier"": 6, ""measure"": 3, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",6,3,0,0,False,False,3,3,simulation,target_depth_experiment,"{""000"": 1024}",1.0,17
completed,17,5,17,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""z"": 4, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,3,simulation,target_depth_experiment,"{""0"": 1024}",1.0,17
completed,19,5,19,"{""barrier"": 6, ""cx"": 5, ""h"": 4, ""z"": 4, ""x"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,4,simulation,target_depth_experiment,"{""0"": 1024}",1.0,19
completed,19,7,28,"{""h"": 10, ""cx"": 7, ""z"": 6, ""barrier"": 6, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,6,simulation,target_depth_experiment,"{""00"": 1024}",1.0,19
completed,19,9,33,"{""cx"": 9, ""h"": 8, ""barrier"": 6, ""y"": 4, ""x"": 4, ""measure"": 3, ""s"": 2, ""sdg"": 2, ""cz"": 1}",6,3,0,0,False,False,3,6,simulation,target_depth_experiment,"{""000"": 1024}",1.0,19
completed,19,11,34,"{""cx"": 11, ""h"": 10, ""x"": 6, ""barrier"": 6, ""measure"": 4, ""z"": 2, ""cz"": 1}",7,4,0,0,False,False,4,4,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,19
completed,19,5,19,"{""h"": 6, ""barrier"": 6, ""cx"": 5, ""s"": 2, ""x"": 2, ""sdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,4,simulation,target_depth_experiment,"{""0"": 1024}",1.0,19
completed,19,7,28,"{""cx"": 7, ""h"": 6, ""barrier"": 6, ""sdg"": 3, ""s"": 3, ""z"": 2, ""x"": 2, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,6,simulation,target_depth_experiment,"{""00"": 1024}",1.0,19
completed,19,9,33,"{""h"": 10, ""cx"": 9, ""barrier"": 6, ""z"": 4, ""measure"": 3, ""s"": 2, ""x"": 2, ""sdg"": 2, ""cz"": 1}",6,3,0,0,False,False,3,6,simulation,target_depth_experiment,"{""000"": 1024}",1.0,19
completed,19,11,34,"{""h"": 12, ""cx"": 11, ""barrier"": 6, ""measure"": 4, ""s"": 3, ""sdg"": 3, ""cz"": 1}",7,4,0,0,False,False,4,4,simulation,target_depth_experiment,"{""0000"": 1024}",1.0,19
