status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,counts,success_rate,ibm_job_id,ibm_backend,target_depth,job_duration,job_quantum_duration,job_status,job_success_rate,job_created,job_finished,job_running,job_execution_spans,job_execution_duration
completed,17,13,51,"{""cx"": 13, ""h"": 12, ""x"": 12, ""measure"": 5, ""t"": 2, ""y"": 2, ""tdg"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",8,5,0,0,False,False,5,10,ibm,target_depth_experiment,"{""00011"": 97, ""01010"": 159, ""11111"": 96, ""00110"": 54, ""01100"": 56, ""00000"": 720, ""00100"": 110, ""01001"": 129, ""10111"": 92, ""01110"": 62, ""11101"": 68, ""10101"": 56, ""11110"": 63, ""10010"": 99, ""01000"": 338, ""11000"": 297, ""01011"": 116, ""10000"": 216, ""11100"": 83, ""00001"": 166, ""10011"": 92, ""10100"": 67, ""11001"": 78, ""00111"": 64, ""11010"": 112, ""01111"": 87, ""00010"": 182, ""01101"": 54, ""11011"": 62, ""10110"": 69, ""10001"": 81, ""00101"": 71}",0.17578125,cz6twk210wx0008byc70,ibm_brisbane,23,2.0,2.0,completed,0.17578125,2025-03-09T15:05:48.858Z,2025-03-09T15:05:58.615Z,2025-03-09T15:05:51.469Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:05:55', stop='2025-03-09 15:05:57', size=4096>)])",1.98262
completed,17,5,23,"{""cx"": 5, ""h"": 4, ""y"": 4, ""t"": 2, ""x"": 2, ""u"": 2, ""tdg"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,6,ibm,target_depth_experiment,"{""0"": 1644, ""1"": 2452}",0.4013671875,cz6twt339f40008svrp0,ibm_brisbane,23,2.0,2.0,completed,0.4013671875,2025-03-09T15:06:16.551Z,2025-03-09T15:07:27.016Z,2025-03-09T15:06:19.379Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:07:24', stop='2025-03-09 15:07:26', size=4096>)])",1.886439
completed,17,7,36,"{""cx"": 7, ""h"": 6, ""y"": 6, ""u"": 4, ""t"": 3, ""tdg"": 3, ""x"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,10,ibm,target_depth_experiment,"{""01"": 450, ""00"": 1605, ""11"": 1553, ""10"": 488}",0.391845703125,cz6txg61xvhg008ep5r0,ibm_brisbane,23,2.0,2.0,completed,0.391845703125,2025-03-09T15:07:44.817Z,2025-03-09T15:07:50.795Z,2025-03-09T15:07:47.347Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:07:48', stop='2025-03-09 15:07:49', size=4096>)])",1.8489900000000001
completed,17,9,45,"{""cx"": 9, ""h"": 8, ""t"": 5, ""tdg"": 5, ""y"": 4, ""s"": 3, ""sdg"": 3, ""measure"": 3, ""u"": 2, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,12,ibm,target_depth_experiment,"{""111"": 675, ""100"": 434, ""000"": 493, ""011"": 1374, ""101"": 260, ""010"": 256, ""110"": 201, ""001"": 403}",0.120361328125,cz6txny1xvhg008ep5rg,ibm_brisbane,23,2.0,2.0,completed,0.120361328125,2025-03-09T15:08:07.547Z,2025-03-09T15:08:22.370Z,2025-03-09T15:08:10.246Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:08:19', stop='2025-03-09 15:08:21', size=4096>)])",1.927928
completed,17,11,50,"{""cx"": 11, ""h"": 10, ""y"": 6, ""u"": 6, ""x"": 4, ""measure"": 4, ""t"": 3, ""tdg"": 3, ""s"": 1, ""cz"": 1, ""sdg"": 1}",7,4,0,0,False,False,4,12,ibm,target_depth_experiment,"{""1100"": 234, ""0000"": 1295, ""1111"": 234, ""0011"": 104, ""0001"": 148, ""1001"": 194, ""1000"": 830, ""0100"": 174, ""0010"": 146, ""0111"": 175, ""1010"": 125, ""0110"": 65, ""1110"": 103, ""1101"": 107, ""0101"": 69, ""1011"": 93}",0.316162109375,cz6txyfp6030008cxjb0,ibm_brisbane,23,3.0,3.0,completed,0.316162109375,2025-03-09T15:08:41.599Z,2025-03-09T15:09:51.027Z,2025-03-09T15:08:44.659Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:09:48', stop='2025-03-09 15:09:50', size=4096>)])",2.027332
completed,17,13,51,"{""cx"": 13, ""h"": 12, ""u"": 8, ""y"": 6, ""measure"": 5, ""s"": 3, ""sdg"": 3, ""cz"": 1}",8,5,0,0,False,False,5,10,ibm,target_depth_experiment,"{""10001"": 72, ""00011"": 139, ""01110"": 110, ""11000"": 173, ""01100"": 202, ""00000"": 188, ""00111"": 126, ""10000"": 147, ""11110"": 105, ""01000"": 177, ""11101"": 102, ""11010"": 123, ""10010"": 96, ""01111"": 133, ""10011"": 170, ""00110"": 122, ""11111"": 158, ""11011"": 129, ""00101"": 94, ""01101"": 126, ""10110"": 98, ""00010"": 90, ""01001"": 105, ""01010"": 96, ""10111"": 105, ""11100"": 161, ""10100"": 152, ""00100"": 173, ""11001"": 104, ""10101"": 98, ""01011"": 141, ""00001"": 81}",0.0458984375,cz6tym210wx0008bycp0,ibm_brisbane,23,3.0,3.0,completed,0.0458984375,2025-03-09T15:10:08.756Z,2025-03-09T15:13:14.256Z,2025-03-09T15:10:11.453Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:13:11', stop='2025-03-09 15:13:13', size=4096>)])",2.087891
completed,19,5,25,"{""cx"": 5, ""h"": 4, ""x"": 4, ""y"": 4, ""u"": 2, ""s"": 1, ""t"": 1, ""cz"": 1, ""tdg"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,7,ibm,target_depth_experiment,"{""1"": 1706, ""0"": 2390}",0.58349609375,cz6v07gh0kc00089bjsg,ibm_kyiv,25,2.0,2.0,completed,0.58349609375,2025-03-09T15:13:34.701Z,2025-03-09T15:13:41.440Z,2025-03-09T15:13:38.004Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:13:38', stop='2025-03-09 15:13:40', size=4096>)])",1.720869
completed,19,7,40,"{""u"": 8, ""y"": 8, ""cx"": 7, ""h"": 6, ""x"": 2, ""t"": 2, ""tdg"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,12,ibm,target_depth_experiment,"{""00"": 1261, ""11"": 1961, ""10"": 416, ""01"": 458}",0.307861328125,cz6v0es1xvhg008ep65g,ibm_brisbane,25,2.0,2.0,completed,0.307861328125,2025-03-09T15:14:03.639Z,2025-03-09T15:14:30.189Z,2025-03-09T15:14:06.346Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:14:27', stop='2025-03-09 15:14:29', size=4096>)])",1.84342
completed,19,9,51,"{""cx"": 9, ""h"": 8, ""s"": 7, ""sdg"": 7, ""t"": 5, ""tdg"": 5, ""y"": 4, ""measure"": 3, ""x"": 2, ""cz"": 1}",6,3,0,0,False,False,3,15,ibm,target_depth_experiment,"{""001"": 136, ""110"": 525, ""100"": 1774, ""101"": 216, ""000"": 601, ""011"": 249, ""111"": 248, ""010"": 347}",0.146728515625,cz6v0sk1xvhg008ep680,ibm_brisbane,25,2.0,2.0,completed,0.146728515625,2025-03-09T15:14:46.798Z,2025-03-09T15:15:58.423Z,2025-03-09T15:14:49.482Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:15:55', stop='2025-03-09 15:15:57', size=4096>)])",1.907552
completed,19,11,58,"{""x"": 12, ""cx"": 11, ""h"": 10, ""y"": 6, ""s"": 4, ""sdg"": 4, ""measure"": 4, ""t"": 2, ""u"": 2, ""tdg"": 2, ""cz"": 1}",7,4,0,0,False,False,4,16,ibm,target_depth_experiment,"{""1110"": 315, ""1100"": 337, ""1010"": 347, ""0100"": 149, ""1011"": 373, ""1000"": 271, ""0101"": 186, ""0110"": 120, ""1111"": 376, ""0010"": 122, ""1101"": 281, ""0001"": 226, ""0111"": 267, ""1001"": 334, ""0011"": 261, ""0000"": 131}",0.031982421875,cz6v1gy10wx0008byd9g,ibm_kyiv,25,2.0,2.0,completed,0.031982421875,2025-03-09T15:16:19.873Z,2025-03-09T15:16:26.514Z,2025-03-09T15:16:22.482Z,"ExecutionSpans([DoubleSliceSpan(<start='2025-03-09 15:16:23', stop='2025-03-09 15:16:25', size=4096>)])",1.947253
