status,circuit_depth,circuit_width,circuit_size,circuit_count_ops,num_qubits,num_clbits,num_ancillas,num_parameters,has_calibrations,has_layout,payload_size,num_gates,execution_type,experiment_type,job_id,counts,success_rate,target_depth,qbraid_job_id,qbraid_device_id,job_status,vendor,provider,measurement_counts_sdk,job_metadata,job_tags,job_created_at,job_ended_at,cost,job_execution_duration,shots,queue_position,queue_depth,circuit_num_qubits,circuit_depth_sdk,data_source
completed,15,5,15,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""z"": 2, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-zaxa2veysj04fhn7afpc,"{""0"": 8, ""1"": 2}",0.8,15,rigetti_ankaa_3-cmarquezb-qjob-zaxa2veysj04fhn7afpc,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 8, '1': 2}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-zaxa2veysj04fhn7afpc', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 23, 4), 'endedAt': datetime.datetime(2025, 9, 3, 22, 23, 9), 'executionDuration': 5000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:23:04,2025-09-03 22:23:09,30.9,5000.0,10.0,,,4.0,9.0,quantum
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""z"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-qup306cemls97pccs1ne,"{""00"": 4, ""10"": 2, ""11"": 4}",0.4,15,rigetti_ankaa_3-cmarquezb-qjob-qup306cemls97pccs1ne,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 4, '10': 2, '11': 4}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-qup306cemls97pccs1ne', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 23, 28), 'endedAt': datetime.datetime(2025, 9, 3, 22, 23, 30), 'executionDuration': 2000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:23:28,2025-09-03 22:23:30,30.9,2000.0,10.0,,,5.0,10.0,quantum
completed,15,5,15,"{""h"": 6, ""cx"": 5, ""barrier"": 4, ""y"": 2, ""cz"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-40k2z24adj34966vz6m8,"{""0"": 8, ""1"": 2}",0.8,15,rigetti_ankaa_3-cmarquezb-qjob-40k2z24adj34966vz6m8,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 8, '1': 2}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-40k2z24adj34966vz6m8', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 23, 51), 'endedAt': datetime.datetime(2025, 9, 3, 22, 23, 52), 'executionDuration': 1000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:23:51,2025-09-03 22:23:52,30.9,1000.0,10.0,,,4.0,9.0,quantum
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""x"": 2, ""y"": 2, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-x213wfaqqd519o9y247s,"{""00"": 2, ""01"": 3, ""11"": 5}",0.2,15,rigetti_ankaa_3-cmarquezb-qjob-x213wfaqqd519o9y247s,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 2, '01': 3, '11': 5}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-x213wfaqqd519o9y247s', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 24, 19), 'endedAt': datetime.datetime(2025, 9, 3, 22, 24, 21), 'executionDuration': 2000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:24:19,2025-09-03 22:24:21,30.9,2000.0,10.0,,,5.0,10.0,quantum
completed,15,5,15,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""x"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-mrp8n5nhnngeb55hw4uk,"{""0"": 8, ""1"": 2}",0.8,15,rigetti_ankaa_3-cmarquezb-qjob-mrp8n5nhnngeb55hw4uk,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 8, '1': 2}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-mrp8n5nhnngeb55hw4uk', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 24, 43), 'endedAt': datetime.datetime(2025, 9, 3, 22, 24, 44), 'executionDuration': 1000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:24:43,2025-09-03 22:24:44,30.9,1000.0,10.0,,,4.0,9.0,quantum
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""z"": 2, ""measure"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1}",5,2,0,0,False,False,2,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-bxhxzh8cqlm5qh5rd4cv,"{""00"": 4, ""01"": 2, ""11"": 4}",0.4,15,rigetti_ankaa_3-cmarquezb-qjob-bxhxzh8cqlm5qh5rd4cv,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 4, '01': 2, '11': 4}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-bxhxzh8cqlm5qh5rd4cv', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 25, 6), 'endedAt': datetime.datetime(2025, 9, 3, 22, 25, 8), 'executionDuration': 2000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:25:06,2025-09-03 22:25:08,30.9,2000.0,10.0,,,5.0,10.0,quantum
completed,15,5,15,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""y"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-exk0kdu3jtoskpnlouax,"{""0"": 9, ""1"": 1}",0.9,15,rigetti_ankaa_3-cmarquezb-qjob-exk0kdu3jtoskpnlouax,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 9, '1': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-exk0kdu3jtoskpnlouax', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 25, 29), 'endedAt': datetime.datetime(2025, 9, 3, 22, 25, 31), 'executionDuration': 2000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:25:29,2025-09-03 22:25:31,30.9,2000.0,10.0,,,4.0,9.0,quantum
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""z"": 4, ""barrier"": 4, ""measure"": 2, ""cz"": 1}",5,2,0,0,False,False,2,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-e70jl1gvpm8hc5arfba8,"{""00"": 4, ""01"": 3, ""11"": 3}",0.4,15,rigetti_ankaa_3-cmarquezb-qjob-e70jl1gvpm8hc5arfba8,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 4, '01': 3, '11': 3}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-e70jl1gvpm8hc5arfba8', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 26, 7), 'endedAt': datetime.datetime(2025, 9, 3, 22, 26, 9), 'executionDuration': 2000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:26:07,2025-09-03 22:26:09,30.9,2000.0,10.0,,,5.0,10.0,quantum
completed,15,5,15,"{""cx"": 5, ""h"": 4, ""barrier"": 4, ""z"": 2, ""s"": 1, ""cz"": 1, ""sdg"": 1, ""measure"": 1}",4,1,0,0,False,False,1,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-a54vfrn30odigvpp1dxg,"{""0"": 9, ""1"": 1}",0.9,15,rigetti_ankaa_3-cmarquezb-qjob-a54vfrn30odigvpp1dxg,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'0': 9, '1': 1}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-a54vfrn30odigvpp1dxg', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 26, 35), 'endedAt': datetime.datetime(2025, 9, 3, 22, 26, 37), 'executionDuration': 2000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:26:35,2025-09-03 22:26:37,30.9,2000.0,10.0,,,4.0,9.0,quantum
completed,15,7,20,"{""cx"": 7, ""h"": 6, ""barrier"": 4, ""x"": 2, ""measure"": 2, ""sdg"": 1, ""cz"": 1, ""s"": 1}",5,2,0,0,False,False,2,2,qbraid,target_depth_experiment,rigetti_ankaa_3-cmarquezb-qjob-8792jjifyj8phd940e76,"{""00"": 4, ""01"": 1, ""10"": 2, ""11"": 3}",0.4,15,rigetti_ankaa_3-cmarquezb-qjob-8792jjifyj8phd940e76,rigetti_ankaa_3,JobStatus.COMPLETED,rigetti,qbraid,"{'00': 4, '01': 1, '10': 2, '11': 3}","{'job_id': 'rigetti_ankaa_3-cmarquezb-qjob-8792jjifyj8phd940e76', 'device_id': 'rigetti_ankaa_3', 'status_text': None, 'shots': 10, 'experiment_type': <ExperimentType.GATE_MODEL: 'gate_model'>, 'queue_position': None, 'time_stamps': {'createdAt': datetime.datetime(2025, 9, 3, 22, 27, 3), 'endedAt': datetime.datetime(2025, 9, 3, 22, 27, 5), 'executionDuration': 2000}, 'tags': {}, 'preflight': False, 'header': {'name': 'qbraid.runtime.schemas.job', 'version': 1.0}, 'status': <COMPLETED: 'job has successfully run'>}",{},2025-09-03 22:27:03,2025-09-03 22:27:05,30.9,2000.0,10.0,,,5.0,10.0,quantum
